Aortic dimensions at the 6 levels by sex;;;;;
Aortic dimensions;Females;Males;p;;
(Mean SD);P97.5;(Mean SD);P97.5;;
Annulus (cm);1.93 ± 0.18;2.30;2.12 ± 0.20;2.60;< 0.0001
Annulus/BSA (cm/m2);1.13 ± 0.13;1.38;1.07 ± 0.11;1.30;< 0.0001
Annulus/height (cm/m);1.19 ± 0.11;1.42;1.22 ± 0.10;1.45;0.0005
Sinus (cm);2.77 ± 0.34;3.50;3.11 ± 0.38;3.89;< 0.0001
Sinus/BSA (cm/m2);1.62 ± 0.24;2.11;1.56 ± 0.21;1.97;0.0001
Sinus/height (cm/m);1.72 ± 0.21;2.18;1.78 ± 0.21;2.20;< 0.0001
STJ (cm);2.45 ± 0.31;3.10;2.74 ± 0.37;3.50;< 0.0001
STJ/BSA (cm/m2);1.43 ± 0.21;1.87;1.38 ± 0.20;1.84;< 0.0001
STJ/height (cm/m);1.52 ± 0.19;1.93;1.57 ± 0.21;2.01;< 0.0001
Ascending (cm);2.65 ± 0.35;3.40;2.88 ± 0.36;3.60;< 0.0001
Ascending/BSA (cm/m2);1.54 ± 0.22;2.00;1.45 ± 0.19;1.86;< 0.0001
Ascending/height (cm/m);1.64 ± 0.21;2.09;1.65 ± 0.20;2.08;0.37
Aortic arch (cm);2.27 ± 0.31;2.93;2.46 ± 0.33;3.20;< 0.0001
Aortic arch/BSA (cm/m2);1.32 ± 0.19;1.75;1.23 ± 0.18;1.64;< 0.0001
Aortic arch/height (cm/m);1.37 ± 0.29;1.83;1.39 ± 0.24;1.84;0.29
Descending (cm);1.91 ± 0.31;2.60;2.06 ± 0.33;2.80;< 0.0001
Descending/BSA (cm/m2);1.11 ± 0.18;1.50;1.03 ± 0.17;1.40;< 0.0001
Descending/height (cm/m);1.15 ± 0.27;1.62;1.16 ± 0.23;1.60;0.43
Open in a new tab;;;;;
"Values are expressed as the mean ± standard deviation. T-test statistics for comparing means. P97.5: 97.5th percentile point. BSA: body surface area; STJ: sinotubular junction.";;;;;
